Token	True Label	Predicted Label
to	c	i
have	c	c
about	c	i
three	c	c
hours	i	c
free	c	c
times	i	c
.	c	c

What	c	c
do	c	c
you	c	i
think	c	c
if	i	c
we	i	c
will	i	c
go	i	c
to	c	c
visit	i	c
the	c	c
Arts	c	c
Museum	c	c
?	c	c

Of	i	c
if	i	c
we	c	c
will	i	c
go	c	c
to	c	i
hear	c	c
a	c	c
classic	c	c
concert	c	c
near	c	c
the	c	c
conference	c	c
building	i	c
's	i	c
?	i	c

I	c	c
hope	c	c
that	c	c
I	c	i
have	c	c
been	c	c
able	c	c
to	c	c
give	c	c
you	c	i
some	c	c
help.	c	c
and	i	c
I	c	c
am	c	c
looking	c	c
forward	c	c
to	c	c
seeing	c	c
you	c	i
at	c	c
the	c	c
conference	c	c
.	c	i

I	c	i
am	c	c
writing	c	c
a	c	c
report	c	c
,	c	c
which	i	c
will	i	c
describe	c	c
you	i	i
the	c	c
most	c	c
important	c	c
building	c	c
of	i	c
my	c	i
town	c	c
.	c	i

The	c	i
most	c	i
important	c	c
building	c	c
of	c	i
Biasco	c	i
is	c	c
the	c	i
,,Casa	c	i
Cavalier	c	i
Pellanda	c	i
.	c	i

It	c	i
is	c	c
an	i	c
old	i	c
big	i	c
house	c	i
of	c	i
a	c	c
rich	c	c
lord	c	c
in	c	c
the	c	c
middle	c	c
of	c	c
the	c	c
town	c	c
.	c	c

Into	i	c
this	c	i
house	c	c
there	c	c
is	c	c
a	c	c
big	c	c
museum	c	i
,	c	c
where	c	c
you	c	i
could	i	i
know	i	i
the	i	c
past	i	i
of	c	i
Biasco	c	i
.	c	i

Under	c	c
the	c	c
museum	c	c
there	c	c
is	c	c
a	c	c
big	c	c
dark	c	c
place	c	c
,	c	c
where	c	c
the	c	i
wine	c	c
is	c	i
produced	c	i
.	c	i

Your	c	i
American	c	c
students	c	c
could	c	c
learn	c	i
how	c	c
the	c	i
,,Meriot	c	c
ticinese	c	i
is	c	c
produced	c	i
and	c	c
why	c	c
is	i	c
it	i	c
so	c	c
famous	c	c
in	c	c
Tiano	c	c
.	c	i

I	c	i
think	c	i
that	c	c
these	c	c
suggestions	c	c
could	c	c
interest	c	c
your	c	i
student	i	c
then	i	c
Biasco	c	i
,	c	c
with	c	c
its	c	i
,,Casa	c	i
Cavalier	c	i
Pellanda	c	i
,	c	c
is	c	c
the	c	c
middle	c	i
points	i	i
of	c	i
two	c	i
tailes	i	i
-	c	c
Leventina	c	i
and	c	i
Blenio	c	i
-	c	i
and	c	c
the	c	c
middle	c	c
points	i	c
of	c	i
two	c	i
similar	c	i
but	c	i
also	c	i
different	c	i
cultures	c	i
too	c	c
.	c	i

I	c	i
hope	c	c
that	c	c
these	i	c
informations	i	c
will	c	c
bring	i	c
you	c	i
to	c	i
visit	c	i
Biasco	c	c
and	c	c
its	c	c
,,house	c	c
.	c	i

Yours	c	c
faithfully	i	c
,	c	c

Dear	c	c
Mrs	c	c
Smith	c	c
.	i	c

I	c	i
have	c	c
just	c	i
received	c	c
your	c	i
letter	c	c
.	c	c

It	c	c
was	c	c
very	c	c
sorry	i	c
news	c	c
to	i	c
Richard	c	c
Brown	c	c
.	c	c

I	c	i
have	c	c
given	c	c
much	i	c
information	c	c
of	i	c
the	c	c
international	c	c
student	c	c
conference	c	c
.	c	c

Firstly	c	i
,	c	c
the	c	c
conference	c	c
will	c	c
take	c	i
place	c	i
in	c	i
the	c	i
Palace	c	i
Hotel	c	i
and	c	c
we	c	c
get	c	i
from	c	i
our	c	c
college	c	i
to	c	i
there	c	i
by	c	i
bus	c	i
.	c	i

Number	c	c
45	c	c
bus	c	c
runs	i	c
to	i	i
there	c	c
every	c	c
5	c	c
minutes	c	i
.	c	c

It	c	i
takes	c	i
25	c	c
minutes	c	i
that	i	i
is	c	c
convenient	c	i
to	i	i
us	c	c
.	c	c

Secondly	c	i
,	c	c
there	c	c
are	c	c
some	c	c
programme	i	c
that	c	c
are	c	c
very	i	c
great	c	c
.	c	i

First	i	i
time	i	c
,	c	c
the	c	c
conference	c	c
's	c	c
head	c	c
make	i	i
a	c	c
short	c	i
speech	c	c
and	c	c
then	c	c
we	c	i
have	c	i
dinner	c	c
and	c	c
drinks	c	i
.	c	i

